Rating,Number of Reviews,Installs,Size,Year,Month,Day,Minimum Version,Latest Version,Content Rating: Everyone,Content Rating: Teen,Content Rating: Everyone 10+,Content Rating: Mature 17+,Costs Money
4.365085602,4955,100000,49000000.0,2019,3,18,4.1,1.3,0,0,1,0,0
4.244164944,557,5000,33000000.0,2015,5,26,2.3,1.0,0,0,1,0,1
4.432122231,1569,10000,44000000.0,2014,12,2,2.3,1.2,0,1,0,0,1
4.583171368,6872215,100000000,102000000.0,2019,3,27,4.0,9.0,1,0,0,0,0
3.972892523,45301,1000000,34000000.0,2019,4,2,5.0,4.1,1,0,0,0,0
4.22736311,83426,1000000,37000000.0,2019,3,11,4.4,8.2,1,0,0,0,0
4.127161026,3413,50000,26000000.0,2019,3,14,4.1,4.2,1,0,0,0,1
4.224839211,83762,5000000,31000000.0,2019,3,31,4.1,11.0,1,0,0,0,0
4.531824589,28987,100000,22455984.2626,2015,5,15,4.0,1.0,0,0,1,0,1
4.414430141,6930,1000000,63000000.0,2019,4,1,2.3,1.7,0,1,0,0,0
4.263692379,9750,50000,8800000.0,2018,4,16,4.3,4.05466738559,0,1,0,0,1
4.245532036,1012667,10000000,52000000.0,2019,3,28,4.1,1.2,0,1,0,0,0
4.243504524,3002,50000,89000000.0,2018,1,30,4.0,1.0,0,0,1,0,1
4.07229805,26695,500000,39000000.0,2019,2,13,4.1,1.4,0,0,1,0,1
4.583938599,145755,5000000,98000000.0,2019,3,29,4.1,2.4,0,0,1,0,1
4.1960783,51,1000,80000000.0,2019,3,17,4.0,3.7,0,1,0,0,1
4.00087738,19373,100000,13000000.0,2015,11,2,2.3,1.9,0,1,0,0,1
4.163555622,141004,10000000,22455984.2626,2017,10,27,4.0,1.7,0,1,0,0,0
3.987394333,97416,1000000,22455984.2626,2015,3,4,4.05466738559,4.05466738559,0,0,0,1,1
4.442909241,1602201,50000000,22455984.2626,2019,2,21,4.1,4.05466738559,0,0,0,1,0
4.112077236,7245,100000,16000000.0,2017,10,4,4.0,1.4,0,1,0,0,1
4.52593708,21574380,100000000,64000000.0,2019,3,30,4.0,1.3,0,1,0,0,0
4.361683369,76296,1000000,57000000.0,2019,1,31,4.0,5.7,0,1,0,0,1
4.058992863,16663,100000,7600000.0,2015,3,30,4.0,4.05466738559,0,0,1,0,1
3.929227114,8605,100000,32000000.0,2016,9,29,4.0,1.7,0,0,1,0,1
4.002941132,680,1000000,56000000.0,2019,4,2,4.1,1.1,1,0,0,0,0
3.822527409,9686,1000000,36000000.0,2019,2,13,4.4,1.0,1,0,0,0,0
4.176720619,7062,1000000,41000000.0,2019,3,28,4.4,1.2,1,0,0,0,0
4.015336514,72703,5000000,22455984.2626,2019,3,19,4.05466738559,4.05466738559,0,1,0,0,0
2.5,12,1000,22000000.0,2019,3,5,4.4,1.0,1,0,0,0,1
4.25,40,1000,13000000.0,2019,2,27,4.1,0.1,1,0,0,0,1
4.166666508,6,100,2300000.0,2019,3,9,5.0,1.0,1,0,0,0,1
4.096491337,114,500,84000000.0,2019,2,14,4.4,1.1,0,0,1,0,1
4.166666508,24,500,45000.0,2019,3,4,8.0,1.0,1,0,0,0,1
4.439024448,41,500,26000000.0,2019,3,27,4.1,0.1,1,0,0,0,1
4.400000095,15,100,67000000.0,2019,3,22,4.1,1.2,0,0,1,0,1
4.800000191,10,100,63000000.0,2019,2,21,4.1,12.0,1,0,0,0,1
4.932515144,163,500,6300000.0,2019,3,16,4.1,1.1,0,1,0,0,1
4.291489124,470,1000,60000000.0,2019,3,15,5.0,1.0,0,0,1,0,1
4.80851078,47,1000,22455984.2626,2019,3,7,2.3,1.0,1,0,0,0,1
4.75,12,50,47000000.0,2019,3,13,4.1,1.0,1,0,0,0,1
3.400000095,5,100,60000000.0,2019,3,18,4.1,1.0,1,0,0,0,1
4.529411793,68,1000,22000000.0,2019,2,26,4.1,0.1,1,0,0,0,1
4.0625,176,1000,68000000.0,2019,3,24,4.2,1.6,1,0,0,0,1
3.786885262,61,1000,76000000.0,2019,3,2,4.4,6.0,1,0,0,0,1
4,1,50,3100000.0,2019,3,20,2.1,2.0,1,0,0,0,1
3.916666746,108,1000,61000000.0,2019,2,26,4.1,1.0,1,0,0,0,1
4.172413826,29,100,7300000.0,2019,3,29,4.0,1.0,1,0,0,0,1
4.516129017,124,1000,98000000.0,2019,3,23,7.0,1.0,0,0,1,0,1
5,1,100,98000000.0,2019,2,24,4.0,1.0,1,0,0,0,1
2.952324152,1678,10000,6200000.0,2019,3,29,4.4,1.1,1,0,0,0,1
4.111111164,27,100,18000000.0,2019,2,21,4.1,1.0,1,0,0,0,1
3.378378391,74,1000,18000000.0,2019,3,4,4.0,7.7,1,0,0,0,1
4.195121765,41,100,61000000.0,2019,3,11,4.4,2.0,0,1,0,0,1
3.927536249,69,1000,65000000.0,2019,3,7,4.0,1.0,1,0,0,0,1
4.661375523,189,1000,41000000.0,2019,3,16,7.0,3.0,1,0,0,0,1
4.666666508,9,100,9700000.0,2019,3,30,4.0,1.1,1,0,0,0,1
4.806451797,31,100,86000000.0,2019,3,13,4.1,1.0,1,0,0,0,1
4.25,4,1000,65000000.0,2019,2,20,4.4,1.0,1,0,0,0,1
5,21,500,324000.0,2019,3,20,8.0,2.4,1,0,0,0,1
4.047857285,359986,10000000,18000000.0,2015,8,11,3.0,1.1,1,0,0,0,0
4.604389191,62061,500000,22455984.2626,2017,4,26,4.05466738559,4.05466738559,1,0,0,0,1
4.497234821,14104,100000,27000000.0,2016,10,11,4.1,1.2,1,0,0,0,1
4.007540226,1061,10000,13000000.0,2015,12,6,2.2,1.3,1,0,0,0,1
3.748354912,3799,50000,39000000.0,2014,4,14,2.3,1.2,1,0,0,0,1
4.445520401,3795174,100000000,68000000.0,2018,2,7,4.0,1.9,1,0,0,0,0
4.563720226,27911,100000,72000000.0,2018,6,25,4.1,1.8,1,0,0,0,1
3.954074144,94522,10000000,48000000.0,2019,2,14,4.1,2.1,0,1,0,0,0
4.515973091,2066,50000,85000000.0,2018,11,25,4.2,3.5,1,0,0,0,1
4.331717491,10521,100000,70000000.0,2018,3,16,4.0,1.8,0,0,1,0,1
4.565639496,1752,50000,54000000.0,2018,11,25,4.2,3.5,1,0,0,0,1
3.81526804,4087,50000,45000000.0,2014,4,16,2.3,2.2,1,0,0,0,1
3.962433577,32955,5000000,31000000.0,2018,8,24,2.3,3.3,1,0,0,0,0
4.263734341,6298,1000000,18000000.0,2019,2,14,4.0,6.4,1,0,0,0,0
4.542380333,16278468,1000000000,22455984.2626,2019,4,2,4.05466738559,4.05466738559,1,0,0,0,0
4.297555447,538323,50000000,22455984.2626,2019,3,30,4.05466738559,1.7,1,0,0,0,0
4.355516434,571,10000,22455984.2626,2015,5,3,4.05466738559,4.05466738559,1,0,0,0,1
4.053336143,5156,5000000,28000000.0,2019,2,16,2.3,1.0,1,0,0,0,0
4.062015533,774,1000000,35000000.0,2019,3,7,4.1,1.0,1,0,0,0,0
4.632854939,4249,100000,24000000.0,2018,6,12,4.4,1.1,1,0,0,0,1
4.256777763,61267,5000000,75000000.0,2019,2,6,4.1,1.0,1,0,0,0,0
4.673053741,32461,500000,24000000.0,2018,7,6,4.4,1.5,1,0,0,0,1
4.909090996,11,1000,63000000.0,2017,7,24,4.0,1.0,1,0,0,0,1
4.456076145,15857,1000000,10000000.0,2019,3,25,5.0,4.6,1,0,0,0,0
3.974806309,516,50000,5800000.0,2015,5,30,3.0,1.5,1,0,0,0,0
4.553191662,799,10000,22455984.2626,2018,4,4,4.05466738559,4.05466738559,1,0,0,0,1
4.683725357,380075,10000000,22455984.2626,2019,4,1,4.05466738559,7.9,1,0,0,0,0
4.370604992,1735,50000,35000000.0,2019,3,29,4.4,2.6,1,0,0,0,0
4.51634407,386283,10000000,43000000.0,2019,4,2,5.0,5.5,1,0,0,0,0
4.273175716,218299,10000000,48000000.0,2019,3,28,6.0,5.4,1,0,0,0,0
4.383910179,2399,100000,1100000.0,2016,11,2,2.3,3.1,1,0,0,0,0
3.092987537,33768,5000000,55000000.0,2019,3,13,5.0,6.1,0,0,0,1,0
2.214285612,140,50000,24000000.0,2019,3,6,6.0,1.1,0,0,0,1,0
5,8,50,19000000.0,2018,7,3,5.0,1.0,0,0,0,1,1
1,1,5,15000000.0,2019,2,10,4.1,2.0,0,0,0,1,1
4.155555725,45,10000,22000000.0,2019,2,18,4.2,1.0,0,0,0,1,0
4.286486626,13690,500000,35000000.0,2019,3,20,4.4,1.6,0,0,0,1,0
3.440000057,25,50000,21000000.0,2019,4,2,4.1,1.3,0,0,0,1,0
2.333333254,3,100,18000.0,2017,7,25,4.0,1.0,1,0,0,0,1
4.333333492,3,10,17000000.0,2018,8,31,4.2,1.1,0,0,0,1,1
4.156959057,1631,10000,7200000.0,2019,1,15,4.1,2.6,0,0,0,1,1
4.111111164,18,1000,15000000.0,2019,2,9,5.0,1.0,0,0,0,1,0
4.52208662,27415,1000000,14000000.0,2018,11,22,4.0,1.2,1,0,0,0,0
3.434555054,1528,50000,6400000.0,2019,3,21,5.0,5.0,1,0,0,0,1
